LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
477.0,RGI60-05.06222,111.0,-41.25,63.23,4.28,3.64,1.0
478.0,RGI60-05.06213,76.0,-41.18,63.25,1.7,2.63,1.0
479.0,RGI60-05.06210,77.0,-41.17,63.23,1.57,2.08,1.0
480.0,RGI60-05.06304,71.0,-41.55,63.3,3.51,4.39,1.0
481.0,RGI60-05.06245,132.0,-41.65,63.24,41.29,8.54,1.0
482.0,RGI60-05.06236,85.0,-41.53,63.18,30.63,11.72,1.0
483.0,RGI60-05.06122,112.0,-42.2,63.17,12.79,5.66,1.0
484.0,RGI60-05.06123,69.0,-42.18,63.15,3.65,4.19,1.0
485.0,RGI60-05.05833,106.0,-42.07,63.0,30.61,13.38,1.0
486.0,RGI60-05.05680,128.0,-42.78,62.72,11.43,7.89,1.0
487.0,RGI60-05.05700,127.0,-42.88,62.72,14.35,8.0,1.0
488.0,RGI60-05.05690,129.0,-42.98,62.73,8.45,7.25,1.0
489.0,RGI60-05.05684,130.0,-43.02,62.73,23.09,13.98,1.0
490.0,RGI60-05.05553,102.0,-42.63,62.58,2.53,3.5,1.0
491.0,RGI60-05.05544,113.0,-42.73,62.57,16.17,8.52,1.0
492.0,RGI60-05.05554,114.0,-42.6,62.55,4.83,5.36,1.0
493.0,RGI60-05.05532,107.0,-42.5,62.52,23.08,9.38,1.0
494.0,RGI60-05.05550,115.0,-42.87,62.5,13.38,7.91,1.0
495.0,RGI60-05.05338,108.0,-42.68,61.77,4.15,2.4,1.0
496.0,RGI60-05.05211,109.0,-42.75,61.56,28.19,9.58,1.0
497.0,RGI60-05.05327,103.0,-42.85,61.57,8.07,3.68,1.0
498.0,RGI60-05.05329,104.0,-42.92,61.57,15.43,7.2,1.0
499.0,RGI60-05.05195,101.0,-42.77,61.5,13.65,5.68,1.0
516.0,RGI60-09.00092,179.0,65.05,76.35,49.57,17.08,1.0
517.0,RGI60-09.00090,180.0,64.72,76.28,289.94,24.83,2.0
518.0,RGI60-09.00149,181.0,66.78,76.8,387.2,40.41,1.0
519.0,RGI60-09.00072,182.0,66.83,76.47,669.47,47.86,1.0
520.0,RGI60-09.00144,183.0,65.52,76.43,73.07,14.6,1.0
521.0,RGI60-09.00080,184.0,64.37,76.27,55.26,18.38,1.0
522.0,RGI60-09.00070,185.0,66.1,76.58,132.99,21.59,1.0
523.0,RGI60-09.00946,186.0,67.0,76.87,110.03,20.31,1.0
524.0,RGI60-09.00139,187.0,63.78,76.2,293.23,38.18,1.0
525.0,RGI60-09.00081,188.0,62.65,76.15,455.65,45.95,2.0
526.0,RGI60-09.00066,189.0,64.18,76.25,223.0,32.62,1.0
527.0,RGI60-09.00062,190.0,66.37,76.68,231.11,38.14,1.0
528.0,RGI60-09.00064,191.0,65.42,76.37,233.74,30.8,1.0
529.0,RGI60-12.01262,318.0,43.16,43.07,10.56,8.29,2.0
